Mã KH,Họ tên,Giới tính,Ngày sinh,Thành phố,Tỉnh/TP,Quận/Huyện,Số điện thoại,Email,Loại KH,Điểm tích lũy,Ngày đăng ký,Nhóm tuổi,Kênh ưu tiên
KH00142,Trần Thành Khôi,Nam,23/03/2006,Đà Nẵng,Đà Nẵng,Cẩm Lệ,0339945644,tranthanhkhoi2002@gmail.com,Khách lẻ,1097,20/05/2023,18-24,POS
KH00143,Dương Thành Phúc,Nam,21/10/1997,Bình Dương,Bình Dương,Thuận An,0337515934,phuc.duong2003@gmail.com,Thành viên,2372,13/01/2025,25-34,POS
KH00144,Võ Bảo Linh,Nữ,16/08/2007,Hà Nội,Hà Nội,Ba Đình,0709964370,vobaolinh2004@yahoo.com,Thành viên,4872,02/12/2025,18-24,Online
KH00145,Trần Hữu Thắng,Nam,23/03/1998,Đồng Nai,Đồng Nai,Trảng Bom,0913220791,thang791@outlook.com,Khách doanh nghiệp,8672,11/08/2025,25-34,POS
KH00146,Trần Hữu Cường,Nam,02/01/1997,Hà Nội,Hà Nội,Đống Đa,0776076107,cuong.tran2006@gmail.com,VIP,10010,10/04/2024,25-34,Online
KH00147,Nguyễn Hữu Tín,Nam,16/06/1981,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Thủ Đức,0707775230,nguyenhuutin230@gmail.com,Thành viên,1288,07/02/2024,45-54,POS
KH00148,Đỗ Thanh Anh,Nữ,09/07/1995,Cần Thơ,Cần Thơ,Ninh Kiều,0903673320,anh.do2008@gmail.com,VIP,8690,09/08/2025,25-34,POS
KH00149,Vũ Thùy Loan,Nữ,19/10/1991,Cần Thơ,Cần Thơ,Bình Thủy,0912642078,vuthuyloan2009@gmail.com,Thành viên,3920,26/12/2024,35-44,Online
KH00150,Vũ Hữu Khang,Nam,03/12/1994,Hải Phòng,Hải Phòng,Lê Chân,0379182602,khang1980@gmail.com,Thành viên,4088,20/10/2025,25-34,POS
KH00151,Trần Văn Nam,Nam,19/04/1984,Hải Phòng,Hải Phòng,Hồng Bàng,0828243623,nam.tran623@yahoo.com,Khách lẻ,1472,12/03/2024,35-44,POS
KH00152,Hoàng Gia Trang,Nữ,10/10/1974,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Thủ Đức,0927645064,hoanggiatrang064@gmail.com,Thành viên,1480,06/03/2023,45-54,Marketplace
KH00153,Phan Nhật Phúc,Nam,04/10/1981,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Quận 3,0907455194,phuc.phan1983@gmail.com,Khách lẻ,340,06/04/2024,45-54,POS
KH00154,Ngô Anh Bảo,Nam,26/06/1994,Hải Phòng,Hải Phòng,Kiến An,0386271534,ngo.bao1984@yahoo.com,Thành viên,5504,21/05/2023,25-34,Telesales
KH00155,Nguyễn Nhật An,Nam,17/01/2007,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Tân Bình,0334648890,an.nguyen890@gmail.com,Thành viên,6592,30/06/2025,18-24,POS
KH00156,Nguyễn Tuấn Cường,Nam,03/09/2007,Đồng Nai,Đồng Nai,Trảng Bom,0841956639,nguyentuancuong639@gmail.com,Thành viên,1608,30/01/2024,18-24,Online
KH00157,Phạm Gia Yến,Nữ,02/07/2007,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Phú Nhuận,0978194465,yen.pham465@yahoo.com,Khách lẻ,1337,23/09/2025,18-24,Online
KH00158,Trần Văn Đạt,Nam,16/08/1971,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Quận 1,0379185462,dat.tran1988@yahoo.com,Thành viên,6444,30/08/2025,55+,Online
KH00159,Nguyễn Hồng Loan,Nữ,09/09/2004,Đồng Nai,Đồng Nai,Trảng Bom,0828577750,nguyen.loan750@yahoo.com,VIP,5324,23/12/2024,18-24,Online
KH00160,Nguyễn Văn Minh,Nam,28/12/2004,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Thủ Đức,0987697974,minh1990@outlook.com,Thành viên,4668,27/11/2025,18-24,POS
KH00161,Trần Thành Huy,Nam,10/07/1991,Đà Nẵng,Đà Nẵng,Sơn Trà,0842798768,huy768@icloud.com,Thành viên,7008,22/12/2023,35-44,Online
KH00162,Nguyễn Quang Phúc,Nam,21/01/1968,Thừa Thiên Huế,Thừa Thiên Huế,Huế,0847878947,nguyen.phuc1992@outlook.com,Thành viên,5060,01/12/2024,55+,POS
KH00163,Bùi Hồng Hạnh,Nữ,02/05/2000,Đồng Nai,Đồng Nai,Trảng Bom,0965338549,hanh549@yahoo.com,Thành viên,7116,16/10/2024,25-34,POS
KH00164,Lê Gia Hạnh,Nữ,07/01/1999,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Quận 1,0343369515,hanh515@gmail.com,Thành viên,5696,25/12/2024,25-34,Online
KH00165,Phạm Phương Dung,Nữ,01/07/1995,Hà Nội,Hà Nội,Ba Đình,0919087071,pham.dung071@outlook.com,Khách lẻ,735,09/10/2023,25-34,Online
KH00166,Nguyễn Gia Sơn,Nam,25/04/1990,Hà Nội,Hà Nội,Thanh Xuân,0853026143,son143@gmail.com,Khách lẻ,1180,08/08/2023,35-44,POS
KH00167,Nguyễn Thu Chi,Nữ,22/04/1989,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Phú Nhuận,0858194118,chi118@gmail.com,Thành viên,4108,25/11/2024,35-44,POS
KH00168,Đặng Thanh Hương,Nữ,06/04/1990,Hà Nội,Hà Nội,Thanh Xuân,0829405329,huong.dang1998@outlook.com,Thành viên,5084,16/06/2023,35-44,Marketplace
KH00169,Nguyễn Tuấn An,Nam,28/02/1996,Hà Nội,Hà Nội,Thanh Xuân,0371719095,nguyentuanan1999@outlook.com,Khách lẻ,493,21/04/2023,25-34,Telesales
KH00170,Vũ Tuấn Bảo,Nam,07/07/2006,Quảng Ninh,Quảng Ninh,Hạ Long,0914383984,bao.vu984@gmail.com,Thành viên,384,14/08/2024,18-24,POS
KH00171,Võ Hồng Thảo,Nữ,08/09/1973,Hà Nội,Hà Nội,Hoàng Mai,0964115808,thao808@outlook.com,Khách lẻ,1168,29/07/2024,45-54,Online
KH00172,Lê Thành Đạt,Nam,12/08/2002,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Phú Nhuận,0334905420,dat.le2002@gmail.com,Thành viên,2544,06/06/2023,18-24,POS
KH00173,Lê Thị Chi,Nữ,11/08/1988,Quảng Ninh,Quảng Ninh,Cẩm Phả,0853669586,lethichi2003@gmail.com,Khách lẻ,328,06/05/2024,35-44,POS
KH00174,Võ Gia Dũng,Nam,27/11/1988,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Quận 1,0979911115,vo.dung2004@yahoo.com,Khách doanh nghiệp,6712,07/12/2025,35-44,Online
KH00175,Phan Đức Việt,Nam,20/10/2007,Đà Nẵng,Đà Nẵng,Cẩm Lệ,0982551791,phan.viet2005@gmail.com,Thành viên,2408,14/12/2023,18-24,Online
KH00176,Phạm Khánh Phúc,Nam,18/05/2002,Hà Nội,Hà Nội,Cầu Giấy,0979809748,pham.phuc748@gmail.com,Thành viên,2032,22/08/2025,18-24,Marketplace
KH00177,Lê Văn Minh,Nam,07/09/1995,Cần Thơ,Cần Thơ,Bình Thủy,0701587277,minh277@outlook.com,VIP,16412,08/09/2023,25-34,POS
KH00178,Bùi Gia Nhi,Nữ,16/12/1993,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Bình Thạnh,0329927167,nhi167@gmail.com,Khách lẻ,734,21/03/2025,25-34,POS
KH00179,Phạm Thanh Thảo,Nữ,15/12/1995,Thừa Thiên Huế,Thừa Thiên Huế,Phú Vang,0946622709,pham.thao2009@icloud.com,Thành viên,2276,07/07/2025,25-34,Online
KH00180,Phạm Quang Phúc,Nam,23/05/1968,Hà Nội,Hà Nội,Cầu Giấy,0917100522,phamquangphuc1980@gmail.com,Khách doanh nghiệp,13848,13/11/2024,55+,Telesales
KH00181,Nguyễn Anh Đức,Nam,11/11/1968,Nghệ An,Nghệ An,Cửa Lò,0323616862,nguyenanhduc862@yahoo.com,Thành viên,3672,23/10/2025,55+,Online
KH00182,Nguyễn Thùy Chi,Nữ,27/11/1991,Hà Nội,Hà Nội,Đống Đa,0989381927,nguyen.chi1982@yahoo.com,Thành viên,6280,26/05/2025,35-44,POS
KH00183,Nguyễn Nhật Đạt,Nam,24/01/2001,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Quận 3,0841699902,dat902@yahoo.com,Khách lẻ,1186,26/03/2024,25-34,Marketplace
KH00184,Nguyễn Thanh Hà,Nữ,07/11/1993,Cần Thơ,Cần Thơ,Ninh Kiều,0347886919,nguyen.ha919@gmail.com,Thành viên,4788,26/03/2024,25-34,Online
KH00185,Trần Gia Nhi,Nữ,01/06/1992,Quảng Ninh,Quảng Ninh,Hạ Long,0797829567,trangianhi1985@gmail.com,Khách doanh nghiệp,8104,26/09/2023,25-34,Marketplace
KH00186,Nguyễn Thu My,Nữ,09/09/2002,Hải Phòng,Hải Phòng,Ngô Quyền,0773084670,my.nguyen670@gmail.com,Khách lẻ,865,13/12/2024,18-24,POS
KH00187,Phan Thùy Quỳnh,Nữ,14/07/1970,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Bình Thạnh,0885333462,phanthuyquynh462@outlook.com,VIP,7491,03/12/2023,55+,Marketplace
KH00188,Phan Khánh Thảo,Nữ,09/08/2002,Đà Nẵng,Đà Nẵng,Thanh Khê,0835448672,phan.thao672@gmail.com,Khách lẻ,1041,02/05/2025,18-24,POS
KH00189,Ngô Phương Ngân,Nữ,02/11/1983,Hà Nội,Hà Nội,Hoàng Mai,0794436674,ngan1989@outlook.com,VIP,8624,17/06/2023,35-44,POS
KH00190,Phan Hữu Hiếu,Nam,02/02/1995,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Bình Thạnh,0943312814,phanhuuhieu814@gmail.com,Khách lẻ,601,08/06/2024,25-34,Telesales
KH00191,Hoàng Bảo Anh,Nữ,14/04/1979,Hải Phòng,Hải Phòng,Lê Chân,0367953227,hoang.anh227@icloud.com,VIP,1518,04/12/2023,45-54,POS
KH00192,Võ Hữu Tuấn,Nam,25/03/1980,Khánh Hòa,Khánh Hòa,Nha Trang,0789908668,tuan668@icloud.com,Thành viên,3236,01/02/2025,45-54,Telesales
KH00193,Nguyễn Khánh Cường,Nam,28/02/2007,Hà Nội,Hà Nội,Nam Từ Liêm,0962492156,nguyen.cuong156@outlook.com,Khách lẻ,1404,23/02/2023,18-24,Online
KH00194,Võ Phương My,Nữ,02/09/1980,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Phú Nhuận,0795918101,vo.my1994@outlook.com,Thành viên,1852,11/02/2023,45-54,POS
KH00195,Võ Anh An,Nam,23/12/2002,Đồng Nai,Đồng Nai,Trảng Bom,0917922494,an.vo1995@gmail.com,VIP,17215,09/09/2025,18-24,POS
KH00196,Dương Ngọc Anh,Nữ,14/01/2001,Đà Nẵng,Đà Nẵng,Sơn Trà,0357259630,duong.anh630@outlook.com,Thành viên,804,07/01/2025,25-34,POS
KH00197,Nguyễn Minh Quân,Nam,15/05/2007,Hải Phòng,Hải Phòng,Hồng Bàng,0815123819,quan.nguyen1997@yahoo.com,Khách doanh nghiệp,13296,02/01/2026,18-24,Telesales
KH00198,Nguyễn Kim Hương,Nữ,01/05/1998,Hà Nội,Hà Nội,Cầu Giấy,0779388972,nguyen.huong972@icloud.com,Khách lẻ,229,05/12/2025,25-34,POS
KH00199,Bùi Thùy Linh,Nữ,15/03/1998,Nghệ An,Nghệ An,Vinh,0327505669,bui.linh1999@gmail.com,Khách lẻ,726,27/10/2024,25-34,POS
KH00200,Nguyễn Minh Sơn,Nam,19/02/1993,Hải Phòng,Hải Phòng,Lê Chân,0821462351,son.nguyen2000@gmail.com,Thành viên,3532,26/12/2024,25-34,POS
KH00201,Lê Khánh Thắng,Nam,19/01/1997,Hà Nội,Hà Nội,Ba Đình,0901894504,lekhanhthang2001@yahoo.com,VIP,18458,20/05/2025,25-34,POS
KH00202,Đỗ Khánh Hạnh,Nữ,26/08/2006,Khánh Hòa,Khánh Hòa,Cam Ranh,0342041102,do.hanh102@gmail.com,Thành viên,3960,03/08/2024,18-24,POS
KH00203,Vũ Thanh Loan,Nữ,25/11/2003,Khánh Hòa,Khánh Hòa,Diên Khánh,0915775855,vu.loan2003@outlook.com,Thành viên,4420,27/05/2024,18-24,POS
KH00204,Nguyễn Nhật Quân,Nam,05/03/1972,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Quận 3,0352985826,quan.nguyen826@gmail.com,Khách lẻ,605,23/05/2023,45-54,POS
KH00205,Nguyễn Tuấn Huy,Nam,16/02/2007,Nghệ An,Nghệ An,Cửa Lò,0846783218,nguyentuanhuy218@outlook.com,Khách lẻ,431,21/04/2023,18-24,Telesales
KH00206,Phạm Gia Linh,Nữ,03/07/1990,Bình Dương,Bình Dương,Dĩ An,0828781274,phamgialinh2006@gmail.com,Thành viên,1924,04/03/2024,35-44,POS
KH00207,Phạm Thu Loan,Nữ,02/02/1981,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Phú Nhuận,0967106176,pham.loan2007@gmail.com,Khách lẻ,1233,11/09/2024,45-54,POS
KH00208,Vũ Kim Giang,Nữ,21/10/1998,Hà Nội,Hà Nội,Cầu Giấy,0925164555,vu.giang2008@gmail.com,Thành viên,4000,30/09/2025,25-34,POS
KH00209,Võ Thu Loan,Nữ,08/03/1976,Quảng Ninh,Quảng Ninh,Uông Bí,0382803758,vothuloan2009@gmail.com,Thành viên,1748,06/04/2024,45-54,POS
KH00210,Huỳnh Bảo Ngân,Nữ,01/01/1988,Đồng Nai,Đồng Nai,Biên Hòa,0934495944,ngan.huynh1980@gmail.com,Thành viên,5096,20/11/2025,35-44,POS
KH00211,Nguyễn Đức Hải,Nam,25/12/1999,Hà Nội,Hà Nội,Thanh Xuân,0887399729,nguyen.hai1981@gmail.com,VIP,12870,12/11/2023,25-34,POS
KH00212,Đặng Mai Anh,Nữ,10/07/1990,Hà Nội,Hà Nội,Thanh Xuân,0794737180,anh.dang1982@icloud.com,Thành viên,392,27/02/2023,35-44,POS
KH00213,Nguyễn Mai Linh,Nữ,22/06/1996,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Bình Thạnh,0813032519,linh.nguyen519@yahoo.com,Khách lẻ,1398,30/06/2025,25-34,POS
KH00214,Nguyễn Thanh Hạnh,Nữ,24/11/2001,Hà Nội,Hà Nội,Cầu Giấy,0383563365,hanh365@outlook.com,Khách lẻ,1659,07/02/2025,25-34,POS
KH00215,Đỗ Tuấn Dũng,Nam,02/12/1985,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Bình Thạnh,0761177725,do.dung725@gmail.com,Khách lẻ,1492,17/06/2024,35-44,Online
KH00216,Nguyễn Hoàng Khôi,Nam,15/02/1994,Đà Nẵng,Đà Nẵng,Cẩm Lệ,0984311784,nguyen.khoi1986@gmail.com,Khách lẻ,1800,11/02/2024,25-34,POS
KH00217,Phan Thanh Quỳnh,Nữ,11/02/1999,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Tân Bình,0854877979,quynh979@outlook.com,Khách lẻ,270,27/10/2025,25-34,Telesales
KH00218,Đỗ Phương Yến,Nữ,04/04/2006,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Tân Bình,0702331934,yen.do1988@gmail.com,Khách doanh nghiệp,6968,01/06/2023,18-24,Online
KH00219,Võ Đức Bảo,Nam,18/08/2005,Nghệ An,Nghệ An,Vinh,0364345118,vo.bao1989@yahoo.com,Khách lẻ,210,26/05/2025,18-24,Marketplace
KH00220,Trần Thu Châu,Nữ,18/10/2005,Hà Nội,Hà Nội,Thanh Xuân,0915891656,chau656@yahoo.com,VIP,8041,03/08/2023,18-24,POS
